6804.74,53,(0.00, 0.00, -9.91),Yaw: 0.2929645,0,0,0,0
6805.251,53,(0.00, 0.00, -9.91),Yaw: 0.3289166,0,0,0,0
6805.752,53,(0.00, 0.00, -9.91),Yaw: 0.7241425,0,0,0,0
6806.253,53,(0.00, 0.00, -9.91),Yaw: 0.5409958,0,0,0,0
6806.766,53,(0.00, 0.00, -9.91),Yaw: 0.9007536,0,0,0,0
6807.278,53,(0.00, 0.00, -9.91),Yaw: 357.9957,0,0,0,1
6807.779,53,(-0.01, 0.00, -9.90),Yaw: 357.6943,0,0,0,0
6808.279,53,(0.12, 0.00, -8.76),Yaw: 0.3675003,0,0,0,0
6808.78,53,(0.19, 0.00, -8.32),Yaw: 357.7219,0,0,0,0
6809.292,53,(0.30, 0.00, -7.49),Yaw: 357.0101,0,0,0,0
6809.805,53,(0.52, 0.00, -6.28),Yaw: 358.2217,0,0,0,0
6810.317,53,(0.57, 0.00, -6.38),Yaw: 352.8937,0,0,1,0
6810.829,53,(0.57, 0.00, -5.27),Yaw: 355.8111,0,0,0,0
6811.33,53,(0.62, 0.00, -4.47),Yaw: 357.9265,0,0,0,0
6811.842,53,(0.61, 0.00, -4.25),Yaw: 352.4401,0,0,0,0
6812.354,53,(0.75, 0.00, -3.21),Yaw: 356.8286,1,0,0,0
6812.866,53,(0.70, 0.00, -2.48),Yaw: 352.6566,0,0,1,0
6813.366,53,(0.68, 0.00, -2.17),Yaw: 350.478,0,1,0,0
6813.867,53,(0.66, 0.00, -1.30),Yaw: 352.3306,1,0,0,0
6814.38,53,(0.73, -0.03, -1.01),Yaw: 354.0609,0,0,0,1
6814.892,53,(0.77, -0.03, -0.70),Yaw: 351.9728,0,0,1,0
6815.392,53,(0.81, -0.03, 0.14),Yaw: 359.1282,0,0,0,0
6815.892,53,(0.76, -0.03, 0.34),Yaw: 349.6281,0,0,0,0
6816.404,53,(0.80, -0.01, 0.87),Yaw: 349.3826,0,0,0,0
6816.905,53,(0.79, -0.03, 1.58),Yaw: 351.981,0,0,0,0
6817.405,53,(0.84, -0.03, 1.66),Yaw: 349.7643,0,0,0,0
6817.918,53,(1.04, 0.00, -9.46),Yaw: 355.0153,0,0,0,0
6818.429,53,(1.04, 0.00, -9.46),Yaw: 354.8428,0,0,0,0
6818.942,53,(1.04, 0.00, -9.46),Yaw: 347.2176,0,0,0,0
6819.455,53,(1.04, 0.00, -9.46),Yaw: 346.4613,0,0,0,0
6819.958,53,(1.04, 0.00, -9.46),Yaw: 348.5257,0,0,0,0
6820.467,53,(1.24, 0.00, -8.76),Yaw: 359.7117,0,0,0,0
6820.967,53,(1.11, 0.00, -8.18),Yaw: 355.1129,0,0,0,0
6821.468,53,(1.18, 0.00, -8.02),Yaw: 350.2942,0,0,0,0
6821.98,53,(1.10, 0.00, -7.33),Yaw: 351.8553,0,0,0,0
6822.493,53,(1.16, 0.00, -6.44),Yaw: 359.7702,0,0,0,0
6823.005,53,(1.12, 0.00, -6.02),Yaw: 355.5824,0,0,0,0
6823.518,53,(1.20, 0.00, -5.60),Yaw: 347.6763,0,0,0,0
6824.03,53,(1.20, 0.00, -4.94),Yaw: 348.3043,0,0,0,0
6824.53,53,(1.14, 0.00, -4.56),Yaw: 345.8926,0,0,0,0
6825.042,53,(1.21, 0.00, -4.19),Yaw: 341.8382,0,0,0,0
6825.555,53,(1.29, 0.00, -3.41),Yaw: 343.5645,0,0,0,0
6826.055,53,(1.24, 0.00, -3.26),Yaw: 341.2535,0,0,0,0
6826.556,53,(1.15, 0.00, -2.75),Yaw: 331.4011,0,0,0,0
6827.068,53,(1.15, 0.00, -2.75),Yaw: 335.9698,0,0,0,0
6827.581,53,(1.07, 0.00, -2.43),Yaw: 342.2192,0,0,0,0
6828.093,53,(1.02, 0.00, -2.35),Yaw: 339.9329,0,0,0,0
6828.605,53,(0.93, 0.00, -1.97),Yaw: 338.7263,0,0,0,1
6829.118,53,(0.84, 0.00, -1.43),Yaw: 340.7557,0,0,0,1
6829.629,53,(0.76, 0.00, -1.13),Yaw: 342.295,0,0,0,1
6830.129,53,(0.70, 0.00, -0.86),Yaw: 343.9999,1,0,0,1
